geo_id,Geography,County Name,,Ratio of Unmarried Same Sex Partner Households to Total Unmarried Partner Households
13001,0500000US13001,"Appling County, Georgia",,0.106007067
13003,0500000US13003,"Atkinson County, Georgia",,0.139072848
13005,0500000US13005,"Bacon County, Georgia",,0.070175439
13007,0500000US13007,"Baker County, Georgia",,0.106666667
13009,0500000US13009,"Baldwin County, Georgia",,0.065804935
13011,0500000US13011,"Banks County, Georgia",,0.147321429
13013,0500000US13013,"Barrow County, Georgia",,0.084153005
13015,0500000US13015,"Bartow County, Georgia",,0.114537445
13017,0500000US13017,"Ben Hill County, Georgia",,0.078175896
13019,0500000US13019,"Berrien County, Georgia",,0.070063694
13021,0500000US13021,"Bibb County, Georgia",,0.104399441
13023,0500000US13023,"Bleckley County, Georgia",,0.061349693
13025,0500000US13025,"Brantley County, Georgia",,0.086142322
13027,0500000US13027,"Brooks County, Georgia",,0.13028169
13029,0500000US13029,"Bryan County, Georgia",,0.120320856
13031,0500000US13031,"Bulloch County, Georgia",,0.084953941
13033,0500000US13033,"Burke County, Georgia",,0.075723831
13035,0500000US13035,"Butts County, Georgia",,0.098039216
13037,0500000US13037,"Calhoun County, Georgia",,0.101265823
13039,0500000US13039,"Camden County, Georgia",,0.121848739
13043,0500000US13043,"Candler County, Georgia",,0.086956522
13045,0500000US13045,"Carroll County, Georgia",,0.106119792
13047,0500000US13047,"Catoosa County, Georgia",,0.122194514
13049,0500000US13049,"Charlton County, Georgia",,0.068493151
13051,0500000US13051,"Chatham County, Georgia",,0.130870243
13053,0500000US13053,"Chattahoochee County, Georgia",,0.141025641
13055,0500000US13055,"Chattooga County, Georgia",,0.1069869
13057,0500000US13057,"Cherokee County, Georgia",,0.120821394
13059,0500000US13059,"Clarke County, Georgia",,0.117375231
13061,0500000US13061,"Clay County, Georgia",,0.101694915
13063,0500000US13063,"Clayton County, Georgia",,0.084990253
13065,0500000US13065,"Clinch County, Georgia",,0.116071429
13067,0500000US13067,"Cobb County, Georgia",,0.118093072
13069,0500000US13069,"Coffee County, Georgia",,0.1125
13071,0500000US13071,"Colquitt County, Georgia",,0.079945799
13073,0500000US13073,"Columbia County, Georgia",,0.148543689
13075,0500000US13075,"Cook County, Georgia",,0.119850187
13077,0500000US13077,"Coweta County, Georgia",,0.109489051
13079,0500000US13079,"Crawford County, Georgia",,0.140186916
13081,0500000US13081,"Crisp County, Georgia",,0.08993576
13083,0500000US13083,"Dade County, Georgia",,0.201149425
13085,0500000US13085,"Dawson County, Georgia",,0.100401606
13087,0500000US13087,"Decatur County, Georgia",,0.111776447
13089,0500000US13089,"DeKalb County, Georgia",,0.222604295
13091,0500000US13091,"Dodge County, Georgia",,0.075862069
13093,0500000US13093,"Dooly County, Georgia",,0.073891626
13095,0500000US13095,"Dougherty County, Georgia",,0.081653747
13097,0500000US13097,"Douglas County, Georgia",,0.115568862
13099,0500000US13099,"Early County, Georgia",,0.103139013
13101,0500000US13101,"Echols County, Georgia",,0.083333333
13103,0500000US13103,"Effingham County, Georgia",,0.102272727
13105,0500000US13105,"Elbert County, Georgia",,0.11038961
13107,0500000US13107,"Emanuel County, Georgia",,0.147222222
13109,0500000US13109,"Evans County, Georgia",,0.086757991
13111,0500000US13111,"Fannin County, Georgia",,0.119521912
13113,0500000US13113,"Fayette County, Georgia",,0.130681818
13115,0500000US13115,"Floyd County, Georgia",,0.117688513
13117,0500000US13117,"Forsyth County, Georgia",,0.12354521
13119,0500000US13119,"Franklin County, Georgia",,0.108626198
13121,0500000US13121,"Fulton County, Georgia",,0.192490599
13123,0500000US13123,"Gilmer County, Georgia",,0.154891304
13125,0500000US13125,"Glascock County, Georgia",,0.161290323
13127,0500000US13127,"Glynn County, Georgia",,0.106951872
13129,0500000US13129,"Gordon County, Georgia",,0.113180516
13131,0500000US13131,"Grady County, Georgia",,0.085526316
13133,0500000US13133,"Greene County, Georgia",,0.074688797
13135,0500000US13135,"Gwinnett County, Georgia",,0.138480392
13137,0500000US13137,"Habersham County, Georgia",,0.124472574
13139,0500000US13139,"Hall County, Georgia",,0.137397194
13141,0500000US13141,"Hancock County, Georgia",,0.130136986
13143,0500000US13143,"Haralson County, Georgia",,0.091295117
13145,0500000US13145,"Harris County, Georgia",,0.19844358
13147,0500000US13147,"Hart County, Georgia",,0.135294118
13149,0500000US13149,"Heard County, Georgia",,0.084070796
13151,0500000US13151,"Henry County, Georgia",,0.110722611
13153,0500000US13153,"Houston County, Georgia",,0.076496674
13155,0500000US13155,"Irwin County, Georgia",,0.091503268
13157,0500000US13157,"Jackson County, Georgia",,0.135483871
13159,0500000US13159,"Jasper County, Georgia",,0.100436681
13161,0500000US13161,"Jeff Davis County, Georgia",,0.11814346
13163,0500000US13163,"Jefferson County, Georgia",,0.108910891
13165,0500000US13165,"Jenkins County, Georgia",,0.070652174
13167,0500000US13167,"Johnson County, Georgia",,0.126213592
13169,0500000US13169,"Jones County, Georgia",,0.128571429
13171,0500000US13171,"Lamar County, Georgia",,0.091240876
13173,0500000US13173,"Lanier County, Georgia",,0.100775194
13175,0500000US13175,"Laurens County, Georgia",,0.107712766
13177,0500000US13177,"Lee County, Georgia",,0.136942675
13179,0500000US13179,"Liberty County, Georgia",,0.094272076
13181,0500000US13181,"Lincoln County, Georgia",,0.089552239
13183,0500000US13183,"Long County, Georgia",,0.087155963
13185,0500000US13185,"Lowndes County, Georgia",,0.102941176
13187,0500000US13187,"Lumpkin County, Georgia",,0.14973262
13189,0500000US13189,"McDuffie County, Georgia",,0.096926714
13191,0500000US13191,"McIntosh County, Georgia",,0.123404255
13193,0500000US13193,"Macon County, Georgia",,0.105504587
13195,0500000US13195,"Madison County, Georgia",,0.114678899
